,years,exact_sciences_and_technology,life_sciences_and_medicine,humanities,social_sciences
4,2012,116264,125683,19808,30519
5,2013,121900623,142082425,22687800,32395400
6,2014,129535180,150083225,24622700,37450100
7,2015,140223570,160465485,26504000,44836000
3,2016,156521314,167660665,29048000,54215000
1,2017,172846494,186238644,34439800,60709422
2,2018,175124684,188784871,37526932,66734985
9,2019,176590750,188681769,42455529,73496395
8,2020,179906947,188770560,46581674,81007020
10,2021,178708000,197204130,46581542,85495700
0,2022,183532000,204551430,44872627,92197305
